vebli,block,totrev,shifts,high,firstblock,block1,block2,block3,maxhigh,other,group,shifts_fe,totrev_fe,experiment,odd,fahrer,_merge,_est_rev1,_est_rev2,_est_rev3,_est_rev4,_est_shift1,_est_shift2,_est_shift3,_est_shift4
1,1,8668.4,29,0,14836,1,0,0,1,0,"CG Veloblitz",1.333334,383.4332,0,0,50,3,1,1,1,1,1,1,1,1
1,2,7965.5,26,0,14864,0,1,0,1,0,"CG Veloblitz",-1.666666,-319.4668,1,0,50,3,1,1,1,1,1,1,1,1
1,3,8221,28,1,14913,0,0,1,1,0,"TG Veloblitz",.333334,-63.9668,1,0,50,3,1,1,1,1,1,1,1,1
1,1,4902,16,0,14836,1,0,0,1,0,"CG Veloblitz",-6.666666,-2081.267,0,1,51,3,1,1,1,1,1,1,1,1
1,2,8811.8,27,1,14864,0,1,0,1,0,"TG Veloblitz",4.333334,1828.533,1,1,51,3,1,1,1,1,1,1,1,1
1,3,7236,25,0,14913,0,0,1,1,0,"CG Veloblitz",2.333334,252.7334,1,1,51,3,1,1,1,1,1,1,1,1
1,1,6965.5,27,0,14836,1,0,0,1,0,"CG Veloblitz",5,992.8999,0,0,52,3,1,1,1,1,1,1,1,1
1,2,3598.5,13,0,14864,0,1,0,1,0,"CG Veloblitz",-9,-2374.1,1,0,52,3,1,1,1,1,1,1,1,1
1,3,7353.8,26,1,14913,0,0,1,1,0,"TG Veloblitz",4,1381.2,1,0,52,3,1,1,1,1,1,1,1,1
1,1,7209.5,23,0,14836,1,0,0,1,0,"CG Veloblitz",5.333334,2082.167,0,1,53,3,1,1,1,1,1,1,1,1
1,2,5717.5,21,1,14864,0,1,0,1,0,"TG Veloblitz",3.333334,590.1665,1,1,53,3,1,1,1,1,1,1,1,1
1,3,2455,9,0,14913,0,0,1,1,0,"CG Veloblitz",-8.666666,-2672.333,1,1,53,3,1,1,1,1,1,1,1,1
1,1,1418.5,7,0,14836,1,0,0,1,0,"CG Veloblitz",-4,-1252.067,0,0,55,3,1,1,1,1,1,1,1,1
1,2,2195,8,0,14864,0,1,0,1,0,"CG Veloblitz",-3,-475.5667,1,0,55,3,1,1,1,1,1,1,1,1
1,3,4398.2,18,1,14913,0,0,1,1,0,"TG Veloblitz",7,1727.633,1,0,55,3,1,1,1,1,1,1,1,1
1,1,5679.4,26,0,14836,1,0,0,1,0,"CG Veloblitz",11.33333,2223.3,0,1,56,3,1,1,1,1,1,1,1,1
1,2,4688.9,18,1,14864,0,1,0,1,0,"TG Veloblitz",3.333333,1232.8,1,1,56,3,1,1,1,1,1,1,1,1
1,3,0,0,0,14913,0,0,1,1,0,"CG Veloblitz",-14.66667,-3456.1,1,1,56,3,1,1,1,1,1,1,1,1
1,1,3341.5,13,0,14836,1,0,0,1,0,"CG Veloblitz",-1.666667,-824.3335,0,1,57,3,1,1,1,1,1,1,1,1
1,2,4075,15,1,14864,0,1,0,1,0,"TG Veloblitz",.333333,-90.8335,1,1,57,3,1,1,1,1,1,1,1,1
1,3,5081,16,0,14913,0,0,1,1,0,"CG Veloblitz",1.333333,915.1665,1,1,57,3,1,1,1,1,1,1,1,1
1,1,1221,8,0,14836,1,0,0,1,0,"CG Veloblitz",-5.666667,-1826.5,0,0,58,3,1,1,1,1,1,1,1,1
1,2,3171.5,14,0,14864,0,1,0,1,0,"CG Veloblitz",.333333,124,1,0,58,3,1,1,1,1,1,1,1,1
1,3,4750,19,1,14913,0,0,1,1,0,"TG Veloblitz",5.333333,1702.5,1,0,58,3,1,1,1,1,1,1,1,1
1,1,223,1,0,14836,1,0,0,1,0,"CG Veloblitz",-10.66667,-2402.333,0,1,60,3,1,1,1,1,1,1,1,1
1,2,3920.5,18,1,14864,0,1,0,1,0,"TG Veloblitz",6.333333,1295.167,1,1,60,3,1,1,1,1,1,1,1,1
1,3,3732.5,16,0,14913,0,0,1,1,0,"CG Veloblitz",4.333333,1107.167,1,1,60,3,1,1,1,1,1,1,1,1
1,1,1576,7,0,14836,1,0,0,1,0,"CG Veloblitz",-1.333333,-783,0,0,61,3,1,1,1,1,1,1,1,1
1,2,1660,6,0,14864,0,1,0,1,0,"CG Veloblitz",-2.333333,-699,1,0,61,3,1,1,1,1,1,1,1,1
1,3,3841,12,1,14913,0,0,1,1,0,"TG Veloblitz",3.666667,1482,1,0,61,3,1,1,1,1,1,1,1,1
1,2,114,1,0,14864,0,1,0,1,0,"CG Veloblitz",-5,-1360.5,1,0,63,3,1,1,1,1,1,1,1,1
1,3,2835,11,1,14913,0,0,1,1,0,"TG Veloblitz",5,1360.5,1,0,63,3,1,1,1,1,1,1,1,1
